Day	Date	Time	Place	Title	Rating
Sun	2005/09/11	13:00	C2GA Cinema 2 General Admit	My Neighbour Totoro	PG
Mon	2005/09/12	13:30	C2GA Cinema 2 General Admit	Girl with a Pearl Earring	PG
Fri	2005/09/16	19:00	C2GA Cinema 2 General Admit	Broken Flowers	18+
Fri	2005/09/16	19:00	C2GA Cinema 2 General Admit	Broken Flowers	18+
Fri	2005/09/16	22:00	C2GA Cinema 2 General Admit	Bad day at Black Rock	PG
Sat	2005/09/17	11:00	C2GA Cinema 2 General Admit	Girl with a Pearl Earring	PG
Sat	2005/09/17	14:00	C2GA Cinema 2 General Admit	Mad Max	R
Sat	2005/09/17	18:00	C2GA Cinema 2 General Admit	Ghost Dog: Way of the Samurai	MA
Sat	2005/09/17	20:15	C2GA Cinema 2 General Admit	Le Samourai	PG
Sun	2005/09/18	10:30	C1GA Cinema 1 General Admit	Spellbound	G
Sun	2005/09/18	13:00	C1GA Cinema 1 General Admit	Spellbound	G
Sun	2005/09/18	13:30	C2GA Cinema 2 General Admit	Dead Man	R18+
Sun	2005/09/18	16:00	C2GA Cinema 2 General Admit	The Shooting	18+
Sun	2005/09/18	18:00	C2GA Cinema 2 General Admit	Year of the Horse	M
Mon	2005/09/19	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Mon	2005/09/19	13:30	C1GA Cinema 1 General Admit	Girl with a Pearl Earring	PG
Mon	2005/09/19	13:30	C2GA Cinema 2 General Admit	The Goonies	PG
Mon	2005/09/19	18:00	C1GA Cinema 1 General Admit	Night on Earth	M
Mon	2005/09/19	20:15	C1GA Cinema 1 General Admit	Coffee & Cigarettes	M
Tue	2005/09/20	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Tue	2005/09/20	13:30	C2GA Cinema 2 General Admit	The Goonies	PG
Wed	2005/09/21	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Wed	2005/09/21	13:30	C2GA Cinema 2 General Admit	The Goonies	PG
Thu	2005/09/22	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Thu	2005/09/22	13:30	C2GA Cinema 2 General Admit	The Goonies	PG
Thu	2005/09/22	18:30	C1GA Cinema 1 General Admit	Permanent Vacation	18+
Thu	2005/09/22	20:00	C1GA Cinema 1 General Admit	Ghost Dog: Way of the Samurai	MA
Fri	2005/09/23	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Fri	2005/09/23	13:30	C2GA Cinema 2 General Admit	The Goonies	PG
Fri	2005/09/23	18:00	C1GA Cinema 1 General Admit	Mystery Train	M
Fri	2005/09/23	20:30	C1GA Cinema 1 General Admit	Permanent Vacation	18+
Fri	2005/09/23	22:00	C1GA Cinema 1 General Admit	This Is Spinal Tap	M
Sat	2005/09/24	11:00	C2GA Cinema 2 General Admit	The Weeping Camel	PG
Sat	2005/09/24	14:00	C2GA Cinema 2 General Admit	Sunday Too Far Away	M
Sat	2005/09/24	18:00	C2GA Cinema 2 General Admit	Down By Law	M
